AgentType,RoundType,Scenario,PeepConstant,EnforceMajority,AverageUtilityNonCats,AverageUtilityCats,AveragePopularityNonCats,AveragePopularityCats
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.0,True,12.2125,11.649999999999999,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.0,False,15.98125,16.075000000000003,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.1,True,11.44375,11.225000000000001,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.1,False,16.11875,15.425,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.2,True,12.0625,11.75,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.0,True,13.875,14.5,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.0,False,15.875,16.5,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.1,True,12.0,12.0,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.1,False,16.125,15.5,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.2,True,12.125,11.5,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.2,False,16.125,15.5,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.3,True,12.0,12.0,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.3,False,16.0,16.0,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.4,True,14.0,14.0,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.4,False,15.875,16.5,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.5,True,12.0,12.0,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.5,False,16.0,16.0,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.6,True,12.25,11.0,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.6,False,16.375,14.5,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.7,True,11.875,12.5,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.7,False,15.25,19.0,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.8,True,10.0,10.0,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.8,False,16.25,15.0,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.9,True,12.0,12.0,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,0.9,False,15.75,17.0,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,1.0,True,12.0,12.0,NAN,NAN
homoSelfPlay.csv,"['S', 3]",2OldKitties,1.0,False,16.125,15.5,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.0,True,10.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.0,False,16.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.1,True,12.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.1,False,16.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.2,True,12.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.2,False,16.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.3,True,12.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.3,False,16.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.4,True,12.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.4,False,16.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.5,True,10.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.5,False,16.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.6,True,12.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.6,False,16.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.7,True,12.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.7,False,16.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.8,True,12.0,NAN,NAN,NAN
homoSelfPlay.csv,"['S', 3]",SelfPlay,0.8,False,16.0,NAN,NAN,NAN
